preprocessed_text,sentiment_score
tambahin filtur topup untuk m tix yang buat saku itu mau beli tiket online jadi susahh semogaa cept ditambahin,0.0
comportable app,0.0
tolong diupdate applikasi bya untuk bisa update saldo tanpa harus login untuk kartu uang elektronik brizzi e money mandiri dan flazz bca saja sudah,0.0
bagus,0.7184
baik,0.7184
bagus,0.7184
bagus keren,0.9001
banget,0.0
aplikasi nya bagus lama ini lancar lancar saja moga bisa makin baik dan bagus,0.9325
transaksi lancar urus jadi mudah ,0.6124
mantap kali,0.7184
tari ribu tidak ada jadi saya kasih bintang saja,0.0
sangat baik,0.7184
joss,0.0
tingkat lagi,0.0
praktis mudah guna,0.6124
top up tidak ada admin deh mantap,0.9001
mantap lah,0.7184
saya sulit untuk daftar karena gagal di bagi video,-0.875
makin mudah,0.6124
tetap seperti ini,0.25
saat ambil video untuk buat akun terang selalu error tolong segera baik,0.5106
,0.0
mudah cepat,0.875
bagus,0.7184
sangat cepat,0.7184
agak mudah kan,0.6124
sip hanya untuk catat kurang banyak,-0.4588
bagus apps,0.7184
tolong dong kak jaga baik aplikasi ini soal saya kena tipu atas nama pihak dari bri dan di suruh mingirim kode otp tolih di ketat lagi jaga kak,-0.4588
transaksi cepat kereeen,0.7184
terbaikk jadi gampang kalau mau tf atau bayar sukaaa gampang aman the besttt deh,0.7184
fitur bagus dan lengkap,0.7184
simple cepat,0.7184
belum ketemu masalah sih gatau kalau deh lama,-0.8402
praktis,0.0
tidak bisa bikin akun pas rekam video bilang nya format tidak baca kan goblbagus ehhhh,0.0
mudah segala urus bayar dan bisnis,0.6124
sangat baik,0.7184
gxtx,0.0
kenapa saya saat akan registrasi dengan ambil video tidak bisa dapat tulis signature not valid padahal saya sudah ikut arah dari aplikasi mohon bantu,-0.4515
mudah guna tingkat terus aplikasi iya,0.6124
kenapa saya verifikasi wajah gagal terus padahal sudah isi,-0.7906
mohon transaksi qris notif transaksi masuk jangan tunggu baru ada notif nya,0.25
moga inovasi lebih baik lagi,0.7184
bisa cek dan update saldo brizzi tanpa mesti buka akun bri skarang jadi tidak bisa cek dan update saldo brizzi arah buka akun bri habis ini fix buang kartu brizzi,-0.6124
sangat bantu mudah traksaksi,0.6124
saya ingin laku bayar tetapi tidak bisa lalu akun ceria selalu saja terang ganggu sampaj saya di telepon operator karena lambat bayar sedang sudah autodebet tapi kenapa belum juga potong lalu harus bagaimana cara saya bayar cicil ceria dan tahu nomor briva ceria susah sekali padahal saya tidak ingin ada lambat dalam bayar baik cepat ceria nya,0.9517
mntap,0.0
jdjbbd,0.0
sangat baik,0.7184
banyak tahap dan selalu ganggu jadi tidak hasil terus untuk buat akun,-0.7184
brimo simple dan cepat untuk transaksi bagi semua,0.7184
iya bagus,0.7184
layan yang sangat bagus,0.7184
kenapa pada saat verifikasi rekam selalu gagal iya,-0.7906
bagus,0.7184
kenapa ganggu terus hp nyaaaaaaa,-0.7184
mohon tambah fitur download mutasi bulan,0.25
well its really easy to use,0.6478
bagus nuhuun,0.7184
bagus,0.7184
sudah ulang kali coba tetap tidak bisa tolong di bantu,0.0
sangat bantu,0.0
susah banget mau login doang,-0.7906
brimo update tiap tahun,0.0
sukaaaaa,0.0
run well,0.2732
bagus,0.7184
sangat bantu dan efektif,0.0
aplikasi bank bri kbagus tidak jelas banget telah dapat kode dari sms terus bagaimana tahap lanjut nya apakah harus ke bank dulu apa bagaimana ribet banget sih,0.7184
kenapa sudah selesai input data lanjut verifikasi tapi selalu loading stack di tidak lagi,0.0
,0.0
akun brimo saya keblbagusir lalu saya coba lupa password dan hasil ganti password baru pas login password dan user salah sudah tetap saja begitu selalu,-0.7184
mantap,0.7184
sangat mmbantu trimakasih,0.0
mantap,0.7184
mantap,0.7184
bagus,0.7184
brimo keren sekarang sudah bisa semua transaksi,0.7184
tidak bisa akses bri guna maupun ceria di ios,0.7184
capat,0.0
excellent,0.5719
mantap,0.7184
the logins mechanism is to complicated and also the log out i hope it will be more simple in the future,0.4404
bagus banget aplikasi sangat bantu,0.7184
sangat bantu dengan ada aplikasi brimo saat ini tidak perlu ribet lagi ke bank,0.0
guna brimo mudah transaksi bank,0.6124
sangat bantu dalam transaksi uang hemat waktu tenaga biaya ruang gerak dan semua mudah hanya dalam genggam,0.25
alhamdulillah urus jadi mudah karena ada bri,0.6124
bagusee,0.0
baik sekali layan,0.7184
mantap,0.7184
ulas,0.0
usefull,0.0
bagus,0.7184
banyak bantu,0.0
sangat bantu,0.0
cepat dan tepat,0.7184
bagus saja dulu,0.7184
apa apa ini laku untuk bri junio,0.6124
manta kalee,0.0
masih bagus,0.7184
aplikasi jozzz,0.0
